81 310 8 118
260 181 88 99
54 144 194 155
159 70 192 184
82 32 313 119
28 258 303 288
309 120 21 190
210 295 98 68
83 251 102 308
106 115 10 79
110 60 153 99
150 32 196 112
318 177 160 222
138 196 135 285
293 274 63 253
140 183 135 293
5 186 271 276
56 10 189 83
168 172 166 323
118 292 92 4
258 311 165 247
37 229 185 92
101 28 148 58
81 303 74 139
108 31 128 51
135 184 277 203
158 116 230 66
45 30 206 269
75 38 305 195
237 283 58 24
68 182 148 293
7 262 31 73
151 61 10 264
27 168 161 319
164 217 90 152
227 261 113 118
95 304 300 19
253 150 250 179
28 256 4 280
210 186 27 16
45 255 3 186
64 17 291 95
95 173 213 43
298 225 284 184
145 119 267 275
247 145 183 113
294 128 60 277
319 70 323 3
184 292 260 20
238 306 44 289
14 40 160 135
205 15 111 231
203 163 71 156
44 121 170 151
24 34 71 160
276 103 100 182
132 212 24 245
204 165 12 135
139 236 215 115
216 244 205 136
73 161 301 115
112 126 102 72
166 242 197 84
16 14 89 157
262 85 250 305
263 234 42 291
185 223 79 275
260 83 104 213
43 201 309 227
255 76 107 101
184 66 10 151
118 52 271 301
119 12 325 250
49 32 217 214
19 150 182 201
255 208 235 238
222 69 171 188
266 81 222 242
25 162 139 86
168 9 209 116
53 124 33 76
169 257 197 131
321 198 41 82
110 176 278 96
223 241 38 297
255 116 63 287
115 234 301 214
69 194 28 201
245 256 217 59
238 166 208 55
283 249 228 56
51 71 148 114
135 238 132 148
324 26 135 141
52 18 285 160
42 133 89 283
42 273 150 94
186 188 56 110
234 218 76 212
293 167 324 77
