224 203 6 160
272 195 157 139
158 112 6 311
259 179 296 274
140 100 207 216
223 311 146 222
109 306 292 126
47 272 312 128
101 264 293 296
225 208 125 157
73 212 322 103
103 207 213 245
174 48 89 76
174 60 286 145
150 227 192 273
243 297 316 74
192 310 241 261
2 225 200 18
260 104 64 38
57 196 212 307
195 96 46 252
131 220 248 173
269 217 284 96
11 176 201 216
232 200 193 66
284 318 106 224
112 217 198 102
259 94 104 238
156 178 272 299
259 201 180 268
244 292 238 272
114 15 40 288
71 273 197 118
61 222 87 196
121 151 82 25
136 164 224 54
128 58 10 169
15 60 96 299
293 291 84 240
286 236 104 260
323 39 1 242
241 315 257 250
233 316 88 264
52 6 121 6
290 304 173 214
117 173 206 43
94 209 208 165
207 270 198 7
79 147 42 7
41 313 265 281
182 290 292 37
314 189 189 253
280 2 66 202
246 247 259 168
91 194 46 283
160 191 326 299
180 85 131 35
264 245 287 91
141 135 143 270
200 294 36 206
178 29 6 301
34 309 198 267
186 218 47 248
51 64 28 172
269 152 112 39
25 133 35 47
68 64 106 327
245 215 122 166
173 106 15 94
46 47 161 169
65 83 35 111
63 271 25 211
102 145 183 130
26 316 71 95
32 119 21 294
277 165 114 16
241 106 145 221
137 121 153 265
182 68 193 325
325 200 245 250
203 16 250 163
261 138 170 89
219 164 86 5
73 20 204 202
144 57 152 81
114 201 45 200
122 281 78 102
263 213 159 35
225 196 246 65
20 246 302 118
268 220 201 18
16 300 124 92
83 140 148 127
58 271 231 179
238 326 263 38
233 6 86 199
261 286 135 162
178 292 301 180
259 133 299 309
109 203 126 277
